A,B
200,0.0013543443250000004
400,0.006368838345000001
600,0.020013719234999998
800,0.03711289619000001
1000,0.06854831524999999
1200,0.11675103327999999
1400,0.22145388035
1600,0.5939801728200002
1800,0.8638938212699999
2000,1.7674113988900002
2200,2.548002724755
2400,4.052978490315
2600,4.769216160879999
2800,6.93949182791
3000,8.260295210825
3200,10.040477401244999
3400,12.153862046839997
3600,15.601123092765
3800,17.5435278154
4000,22.08699328478
4200,25.031340258645
4400,29.286246354139998
4600,31.17987375603
4800,35.94562453405501
5000,41.49253045702498
5200,47.77476725721001
5400,50.681779951235
5600,59.78037798091
5800,67.29158318488
6000,79.240986495875
6200,85.17830480389003
6400,91.51888096654
6600,98.91445525637
6800,105.04759760388497
7000,114.57388025209497
7200,122.261856437545
7400,135.10731395452
7600,147.902515774595
7800,158.09217422333
