A,B,C
200,0.031415972186463914,0.013145918790987613
400,0.019699439456038213,0.008522319713227564
600,0.014159151046369684,0.0059829888892874526
800,0.011089813840577344,0.00515388754960847
1000,0.010115461575617985,0.0041295574070252675
1200,0.008770663314788872,0.004318196123004767
1400,0.0074407951839381824,0.003175261980008071
1600,0.006859133257126029,0.0028197319940294185
1800,0.00636874494275288,0.0031444736231300914
2000,0.006143118940056487,0.0027306120153793305
2200,0.005447107526271084,0.0025090256236519554
2400,0.0052656493627472045,0.002335789239756516
2600,0.004859144097322869,0.002121705281786728
2800,0.0044956576026977104,0.002065116553652434
3000,0.004117817418885136,0.0019000797019667506
3500,0.003901024606622312,0.0019871124750656653
4000,0.003704924191943369,0.0018689869947604517
4500,0.003287358004172309,0.0015855743592010398
5000,0.0029923908112926734,0.0014149552835241758
5500,0.0028678882128956597,0.0015484501022678088
6000,0.0026325341980455263,0.001111056935477148
