A,B,C,D,E
200,0.17088926141282385,0.061458790983216535,0.4646542105704586,0.10233385999616368
400,0.09484806384643572,0.03494181876058109,0.2302400470848958,0.05906836447717146
600,0.06192398485554621,0.028841627216810235,0.17230142947338675,0.03808343075231188
800,0.04590094471139633,0.02373892403335817,0.13153557640755073,0.03074525079333869
1000,0.03686856403948216,0.02093390448900495,0.10431695798212388,0.028420107523824935
1200,0.03066780471773461,0.017245645392702225,0.08761188271374247,0.02534951468176304
1400,0.02704778275858966,0.017522709032465326,0.07228874016763481,0.022859832851504502
1600,0.0231092162021223,0.014918346417709586,0.06495485254742725,0.021006763769934475
1800,0.01926339431603994,0.01325630281906358,0.056234783025499564,0.01917719030193111
2000,0.017698479476032775,0.012590639082410619,0.049679730445784005,0.0222567162268485
2200,0.016171977187809775,0.012480340276557372,0.046960869252337695,0.01777251261399641
2400,0.014413364051917454,0.010248122248938228,0.04185140944381978,0.01728722239203873
2600,0.014156459396255663,0.009346459580673363,0.03710400919835419,0.016843966089726343
2800,0.013391619090979016,0.008457537331324568,0.03537868702722476,0.015801749566850765
3000,0.012716294637235002,0.009101380343036402,0.03319524289187348,0.015925136667847405
3500,0.010709181050361498,0.00817711507518302,0.029135601009621384,0.014568838830773671
4000,0.010166713467042671,0.007299292615770306,0.02533445360861699,0.012168126192461807
4500,0.009859904539746939,0.006710962539699065,0.022473116296646434,0.011755499571023061
5000,0.00868060879662972,0.006081904391970306,0.020071423745310187,0.011721043756528125
5500,0.008112500622471543,0.005849405663141825,0.01782741197932002,0.010829926065327298
6000,0.006839417988083658,0.0048933138855585985,0.016614848247317782,0.009718621956283445
