A,B,C
200,0.2073069902933701,0.06373942295441619
400,0.14412276393343912,0.030559001881019333
600,0.12623852526008877,0.02605209824871615
800,0.10676804016373592,0.021080950655405124
1000,0.09440033861336632,0.01943315853399564
1200,0.08405301154212852,0.016586197686026725
1400,0.08084311347615454,0.01724739743822309
1600,0.07625403353751388,0.016431330173665715
1800,0.07466926546674099,0.016145900255780974
2000,0.07166707032541314,0.014775674555050088
2200,0.07091923337797952,0.015090617807588103
2400,0.06998025262303113,0.014972229649911456
2600,0.06681767024462108,0.011583419112327074
2800,0.06647478310247681,0.012850375724345752
3000,0.06556845717523116,0.013037098764296614
3500,0.061601361447102265,0.012090279108650548
4000,0.0568497622868288,0.01256595202850528
4500,0.052651944511843754,0.010854326180227648
5000,0.049366902311681594,0.009906234095245138
5500,0.046281576117791164,0.00987129380105032
6000,0.04371533883076289,0.009404919297604052
