A,B,C,D,E
200,0.07651241491093481,0.03261060170011871,0.057379493537111734,0.026287046250861004
400,0.042503279306734934,0.015054213716075926,0.029713740083794193,0.011448366463810108
600,0.03246462108015073,0.009627412412866236,0.0218550858654603,0.007872743305264935
800,0.028420566704677328,0.009666465891312776,0.01988415904602266,0.007315935636594855
1000,0.026233135141555078,0.00909831695886409,0.017943629315002114,0.00646056520321484
1200,0.023641802988314392,0.007837324452482726,0.016682281751464228,0.00593173881533474
1400,0.02278932032658743,0.007022698102498381,0.01475233947704198,0.00543543111856461
1600,0.021554389346095736,0.007190238694982567,0.014484760166993975,0.0053249848091689355
1800,0.022186088347633647,0.007279194065345759,0.01331384437723298,0.005135358676608169
2000,0.01996694835796159,0.006578954719848335,0.013083103567770798,0.004837184327559153
2200,0.019878644002628648,0.006403782660509092,0.012136794295259828,0.004648265924902595
2400,0.01975925813536642,0.006067657536853389,0.01171997885951006,0.004152707935551322
2600,0.01870386934076227,0.005950211284441545,0.010866684127386547,0.004093483578002342
2800,0.01860830796637331,0.0056164793552781495,0.01091093039448945,0.004080823789152134
3000,0.017578317607000626,0.004968370843352248,0.010585036689774752,0.003908136493183638
3500,0.016273583754388123,0.004770732574113475,0.00945218515987681,0.003490710882463061
4000,0.015253681235272466,0.004449824952214813,0.008877398043482117,0.003486052232434238
4500,0.01451040684899979,0.004609110934282084,0.008197468022449958,0.0030037721674599388
5000,0.013746115227217168,0.003968682424790817,0.007899891979549578,0.0029210685141558405
5500,0.012812331136671297,0.003799169761293501,0.007741251216345221,0.0026914083320805026
6000,0.012402528161196642,0.003443266035932398,0.007292026143988311,0.002798824810381218
