A,B
7900,73.65117420677001
7901,74.77847063491
7902,75.0455878176
7903,75.02913215249998
7904,72.94181157973499
7905,75.11965158611999
7906,74.53697127486
7907,74.361013377765
7908,74.05850871968501
7909,74.53820909176
7910,74.13628015487001
7911,74.27415155346499
7912,72.94040068372999
7913,74.1926160815
7914,74.9016138082
7915,75.00804964611501
7916,73.91815247494999
7917,74.38111762273
7918,73.770805749605
7919,73.39561499938999
7920,72.11203129323502
7921,73.414691261225
7922,73.45504631812999
7923,73.627575838355
7924,74.0194173663
7925,74.02750084528
7926,73.34286871017501
7927,73.72862058071499
7928,72.44741137138
7929,73.79087347675001
7930,73.63041796298499
7931,73.80352147403
7932,73.71724899531002
7933,73.213886767955
7934,73.25070649654499
7935,73.40098479019
7936,72.54627222065
7937,74.46149797757501
7938,73.72164978261999
