A,B
100,0.00066338645
200,0.000719244565
300,0.005063678145
400,0.005352024095000001
500,0.0035515586300000003
600,0.00375479733
700,0.012631705594999997
800,0.021274182589999992
900,0.030931266355000004
1000,0.04376896325499999
1100,0.03863667517
1200,0.03244204728
1300,0.05892624577
1400,0.021525005165
1500,0.059955791625
1600,0.08552467192
1700,0.10417551519499998
1800,0.09745040662500001
1900,0.079175790095
2000,0.11035990130999998
2100,0.22878115245500003
2200,0.1481465943
2300,0.11430346886000001
2400,0.24892558703000003
2500,0.23744060989500004
2600,0.39753492318000005
2700,0.20669154045499996
2800,0.25635823448
2900,0.3950401487750001
3000,0.7139581422549998
3100,1.4487903934399997
3200,0.35165463847000006
3300,0.386175765525
3400,0.398055481955
3500,0.45560402738499994
3600,0.56929225902
