A,B
100,6.695
200,5.24
300,4.44
400,4.455
500,4.185
600,4.1
700,3.8
800,3.77
900,3.795
1000,3.71
1100,3.6
1200,3.675
1300,3.545
1400,3.48
1500,3.535
1600,3.345
1700,3.36
1800,3.405
1900,3.445
2000,3.395
2100,3.45
2200,3.32
2300,3.25
2400,3.2
2500,3.265
2600,3.2
2700,3.25
2800,3.2
2900,3.215
3000,3.255
3100,3.19
3200,3.28
3300,3.2
3400,3.21
3500,3.275
3600,3.185
3700,3.21
3800,3.135
3900,3.155
4000,3.175
4100,3.165
4200,3.14
4300,3.095
4400,3.225
4500,3.165
4600,3.16
4700,3.14
4800,3.165
4900,3.12
5000,3.13
5100,3.12
5200,3.155
5300,3.13
5400,3.165
5500,3.11
5600,3.135
