A,B
100,0.00081337755
200,0.0037394602750000006
300,0.00901140967
400,0.02352868569000001
500,0.045604097665
600,0.08703435464999998
700,0.13137453774000002
800,0.196762578325
900,0.30660426328500007
1000,0.437605447385
1100,0.4189374417249999
1200,0.826845873975
1300,1.0837183407100002
1400,1.3268020928050004
1500,1.5911511114149994
1600,1.7999856910600005
1700,2.50386455422
1800,2.7320751527400002
1900,3.2022305025400004
2000,3.7915605810249997
2100,4.630378169185
2200,4.9595096911450005
2300,5.8599495813099995
2400,5.989423201315002
2500,7.271862199290001
2600,8.780362943804999
2700,9.868065878980001
2800,10.609539021535
2900,11.971825136604997
3000,13.313828842514999
3100,14.205760066044997
3200,14.839816777464998
3300,17.259687808585003
3400,18.660467560304998
3500,20.961607833995
3600,20.613631992484997
3700,25.150309764164994
3800,26.173865951514998
3900,28.76307933215
4000,29.238632209119995
4100,34.313978605695
4200,36.617317864385
4300,35.476875528849995
4400,41.801818772459995
4500,42.098346535359994
4600,47.903923174075
4700,51.23242491882501
4800,52.679990813685
4900,56.51255293939502
5000,60.235269651005
5100,64.56891781254501
5200,67.416479125125
5300,71.34105344276
5400,75.59038556025999
5500,78.24589690942001
5600,86.06502881601
5700,87.414950576575
5800,92.283431545595
5900,102.54766033063498
6000,101.774042079115
6100,108.44891261239499
6200,116.16421585943999
6300,96.95102748452499
6400,101.47191526216999
6500,107.58691371454
6600,111.16623176568999
6700,116.560623546595
6800,122.25210361637997
6900,127.91521110303502
7000,132.59411597585503
7100,139.94399433485998
7200,145.988970096895
7300,154.13125871489498
7400,157.806420345495
7500,166.18179120323003
7600,171.44292037543
7700,178.7186075740851
7800,155.05002791294
