A,B
100,0.455
200,0.615
300,0.75
400,0.83
500,0.845
600,0.835
700,0.87
800,0.92
900,0.885
1000,0.88
1100,0.895
1200,0.94
1300,0.94
1400,0.955
1500,0.96
1600,0.975
1700,0.95
1800,0.945
1900,0.99
2000,0.95
2100,0.985
2200,0.97
2300,0.96
2400,0.945
2500,0.98
2600,0.985
2700,0.985
2800,0.99
2900,0.98
3000,0.99
3100,0.985
3200,0.995
3300,0.985
3400,0.99
3500,0.99
3600,0.995
3700,0.99
3800,0.985
3900,0.98
4000,0.995
4100,0.995
4200,0.995
4300,0.995
4400,1.0
4500,0.99
4600,0.995
4700,0.995
4800,0.995
4900,0.99
5000,0.995
5100,0.995
5200,0.99
5300,1.0
5400,0.99
5500,0.99
5600,1.0
5700,0.995
5800,0.995
5900,0.99
6000,0.995
6100,1.0
6200,0.995
6300,0.995
6400,0.99
6500,0.99
6600,0.995
6700,1.0
6800,1.0
6900,0.995
7000,1.0
7100,1.0
7200,1.0
7300,0.99
